Age,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Gender_Male,EducationBackground_Life Sciences,EducationBackground_Marketing,EducationBackground_Medical,EducationBackground_Other,EducationBackground_Technical Degree,MaritalStatus_Married,MaritalStatus_Single,EmpDepartment_Development,EmpDepartment_Finance,EmpDepartment_Human Resources,EmpDepartment_Research & Development,EmpDepartment_Sales,EmpJobRole_Data Scientist,EmpJobRole_Delivery Manager,EmpJobRole_Developer,EmpJobRole_Finance Manager,EmpJobRole_Healthcare Representative,EmpJobRole_Human Resources,EmpJobRole_Laboratory Technician,EmpJobRole_Manager,EmpJobRole_Manager R&D,EmpJobRole_Manufacturing Director,EmpJobRole_Research Director,EmpJobRole_Research Scientist,EmpJobRole_Sales Executive,EmpJobRole_Sales Representative,EmpJobRole_Senior Developer,EmpJobRole_Senior Manager R&D,EmpJobRole_Technical Architect,EmpJobRole_Technical Lead,BusinessTravelFrequency_Travel_Frequently,BusinessTravelFrequency_Travel_Rarely,OverTime_Yes,Attrition_Yes,PerformanceRating
44,1,5,2,75,3,2,1,5.0,21,3,9.0,2.0,2,4.0,3.0,1.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
45,2,3,4,61,3,2,2,0.0,19,2,9.0,3.0,4,8.0,7.0,3.0,7.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
58,10,4,4,37,3,4,3,0.0,13,3,28.5,1.0,2,20.5,10.0,1.0,8.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
31,23,3,2,64,2,2,4,0.0,21,2,10.0,2.0,3,9.0,0.0,7.0,8.0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
46,3,1,1,52,3,4,3,3.0,12,4,23.0,3.0,3,12.0,9.0,4.0,9.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,7,4,4,46,2,2,4,0.0,20,1,8.0,2.0,3,7.0,7.0,0.0,5.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
28,1,2,3,42,2,2,4,1.0,12,3,7.0,2.0,3,7.0,7.0,0.0,7.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
34,6,4,3,45,2,2,2,6.0,15,3,12.0,3.0,3,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
43,7,3,4,37,4,1,4,4.0,14,4,7.0,3.0,4,5.0,4.0,2.0,2.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
43,14,2,2,94,3,4,1,6.0,24,3,22.0,3.0,3,4.0,1.0,1.0,0.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
27,5,1,3,42,2,3,4,1.0,16,2,9.0,3.0,3,9.0,8.0,0.0,8.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
50,7,2,2,43,2,5,3,5.0,12,4,28.5,2.0,2,20.5,3.0,7.5,8.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
44,1,2,2,91,2,3,1,8.5,14,4,24.0,1.0,3,20.0,6.0,3.0,6.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
30,27,5,3,99,3,2,4,7.0,23,4,10.0,2.0,2,8.0,7.0,7.0,7.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
30,7,3,2,48,2,1,2,1.0,12,2,6.0,3.0,2,6.0,4.0,1.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,13,4,2,46,3,2,1,2.0,17,3,9.0,2.0,1,3.0,1.0,1.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
36,3,3,3,46,3,1,2,1.0,12,3,12.0,2.0,2,11.0,10.0,0.0,7.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
45,29,3,2,55,3,3,4,4.0,18,4,10.0,4.0,4,3.0,1.0,1.0,2.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
29,28,4,4,73,2,1,1,1.0,14,2,5.0,3.0,1,5.0,4.0,0.0,4.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
51,14,2,3,87,3,2,4,4.0,11,3,18.0,2.0,2,7.0,7.0,0.0,7.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
27,9,3,4,44,3,2,4,1.0,14,1,7.0,4.5,3,7.0,7.0,0.0,7.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
37,1,3,2,59,3,3,4,4.0,17,4,12.0,3.0,4,6.0,5.0,1.0,2.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
22,1,2,4,63,3,1,3,0.0,12,4,4.0,2.0,4,3.0,2.0,1.0,2.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
41,2,4,4,88,3,4,2,1.0,19,2,22.0,2.0,3,20.5,10.0,0.0,4.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
36,3,2,4,79,4,2,1,6.0,20,1,13.0,3.0,3,5.0,4.0,0.0,4.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
31,29,4,1,91,2,2,4,1.0,14,1,13.0,3.0,3,12.0,7.0,5.0,7.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
46,2,3,1,51,3,4,3,6.0,13,3,26.0,2.0,1,3.0,2.0,0.0,1.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
36,13,5,2,96,2,2,1,5.0,13,2,16.0,3.0,3,2.0,2.0,2.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
38,10,3,2,99,1,3,3,3.0,12,1,20.0,3.0,3,18.0,14.5,1.0,11.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,17,3,4,74,1,1,3,2.0,13,4,6.0,3.0,3,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
41,19,2,3,36,3,2,1,2.0,16,1,17.0,2.0,2,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34,2,2,4,95,3,2,3,2.0,11,4,5.0,3.0,2,3.0,2.0,0.0,2.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
31,8,2,1,31,3,3,4,1.0,18,1,13.0,4.5,3,13.0,7.0,7.5,9.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40,5,4,4,48,2,3,1,5.0,21,3,20.0,2.0,3,18.0,13.0,1.0,12.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2
50,8,4,4,54,3,1,2,7.0,15,4,4.0,2.0,3,2.0,2.0,2.0,2.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
34,2,3,3,86,3,2,1,0.0,12,4,4.0,3.0,3,3.0,2.0,0.0,2.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
43,21,3,4,61,3,1,4,7.0,20,1,8.0,1.0,3,3.0,2.0,1.0,2.0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
42,2,3,3,68,2,1,2,4.0,14,2,4.0,3.0,3,1.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
47,1,1,3,98,3,3,2,0.0,18,1,14.0,3.0,1,13.0,8.0,5.0,12.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,21,3,1,37,3,1,3,1.0,20,3,1.0,0.5,2,1.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2
37,10,4,3,49,3,2,2,2.0,12,4,18.0,2.0,2,1.0,0.0,0.0,1.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
25,26,1,3,32,3,2,4,1.0,23,2,6.0,4.5,2,6.0,5.0,1.0,4.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
24,23,3,2,89,4,1,4,1.0,11,2,6.0,3.0,3,6.0,5.0,1.0,4.0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
56,23,3,4,68,3,4,2,4.0,12,1,28.5,0.5,3,19.0,14.5,7.5,9.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
36,9,3,4,79,2,1,3,0.0,17,1,2.0,0.5,2,1.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
